acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.23,-0.024,-0.985,2.432,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.397,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.467,-4.41,-0.84,idle_reverse
0.23,-0.025,-0.983,2.467,-4.41,-0.84,idle_reverse
0.23,-0.025,-0.984,2.467,-4.41,-0.84,idle_reverse
0.23,-0.025,-0.984,2.45,-4.41,-0.857,idle_reverse
0.231,-0.025,-0.984,2.45,-4.41,-0.857,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.467,-4.427,-0.857,idle_reverse
0.23,-0.024,-0.984,2.467,-4.427,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.983,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.983,2.415,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.84,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.84,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.229,-0.025,-0.985,2.45,-4.427,-0.857,idle_reverse
0.229,-0.025,-0.985,2.432,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.983,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.983,2.415,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.397,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.231,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.397,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.857,idle_reverse
0.231,-0.025,-0.983,2.415,-4.427,-0.857,idle_reverse
0.231,-0.025,-0.983,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.41,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.41,-0.857,idle_reverse
0.23,-0.025,-0.984,2.397,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.397,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.84,idle_reverse
0.23,-0.025,-0.985,2.415,-4.427,-0.84,idle_reverse
0.23,-0.025,-0.985,2.415,-4.462,-0.857,idle_reverse
0.23,-0.024,-0.984,2.415,-4.462,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.41,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.462,-0.892,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.467,-4.445,-0.857,idle_reverse
0.229,-0.025,-0.984,2.467,-4.445,-0.857,idle_reverse
0.229,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.462,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.892,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.892,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.84,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.84,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.48,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.48,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.462,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.462,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.983,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.983,2.432,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.467,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.467,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.985,2.467,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.985,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.397,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.231,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.231,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.41,-0.875,idle_reverse
0.231,-0.024,-0.984,2.415,-4.41,-0.875,idle_reverse
0.231,-0.024,-0.984,2.397,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.985,2.397,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.41,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.91,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.91,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.41,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.41,-0.892,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.985,2.432,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.985,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.462,-0.875,idle_reverse
0.23,-0.024,-0.985,2.415,-4.462,-0.875,idle_reverse
0.23,-0.024,-0.985,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.983,2.45,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.983,2.415,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.41,-0.875,idle_reverse
0.231,-0.025,-0.984,2.415,-4.41,-0.875,idle_reverse
0.231,-0.025,-0.984,2.415,-4.41,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.41,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.892,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.892,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.91,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.91,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.467,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.984,2.45,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.84,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.84,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.985,2.415,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.984,2.415,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.467,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.397,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.91,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.91,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.985,2.45,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.875,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.231,-0.025,-0.984,2.415,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.462,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.462,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.985,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.45,-4.462,-0.892,idle_reverse
0.23,-0.024,-0.985,2.45,-4.462,-0.892,idle_reverse
0.23,-0.024,-0.985,2.467,-4.445,-0.91,idle_reverse
0.23,-0.025,-0.984,2.467,-4.445,-0.91,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.445,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.91,idle_reverse
0.231,-0.025,-0.984,2.45,-4.445,-0.91,idle_reverse
0.231,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.231,-0.024,-0.984,2.432,-4.445,-0.892,idle_reverse
0.231,-0.024,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.467,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.985,2.467,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.985,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.985,2.45,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.985,2.45,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.985,2.467,-4.427,-0.84,idle_reverse
0.23,-0.024,-0.984,2.467,-4.427,-0.84,idle_reverse
0.23,-0.024,-0.984,2.432,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.985,2.415,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.985,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.985,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.985,2.415,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.462,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.857,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.84,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.84,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.84,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.84,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.41,-0.892,idle_reverse
0.23,-0.024,-0.985,2.432,-4.41,-0.892,idle_reverse
0.23,-0.024,-0.985,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.231,-0.025,-0.984,2.432,-4.427,-0.892,idle_reverse
0.231,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.985,2.415,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.985,2.415,-4.462,-0.857,idle_reverse
0.23,-0.025,-0.985,2.415,-4.462,-0.857,idle_reverse
0.23,-0.025,-0.985,2.415,-4.427,-0.857,idle_reverse
0.23,-0.024,-0.984,2.415,-4.427,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.41,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.41,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.983,2.432,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.983,2.415,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.984,2.415,-4.445,-0.892,idle_reverse
0.231,-0.025,-0.984,2.432,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.892,idle_reverse
0.231,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.41,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.432,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.467,-4.462,-0.857,idle_reverse
0.23,-0.025,-0.984,2.467,-4.462,-0.857,idle_reverse
0.23,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.231,-0.025,-0.984,2.467,-4.427,-0.875,idle_reverse
0.231,-0.024,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.432,-4.445,-0.875,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.427,-0.857,idle_reverse
0.23,-0.025,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.45,-4.445,-0.857,idle_reverse
0.23,-0.024,-0.984,2.432,-4.445,-0.857,idle_reverse
