acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.432,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.432,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.066,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.066,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.066,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.066,2.45,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.45,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.068,2.467,-4.48,-0.892,idle_sideB
0.001,-1.012,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.012,-0.067,2.467,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.875,idle_sideB
0.002,-1.011,-0.067,2.45,-4.462,-0.857,idle_sideB
0.001,-1.011,-0.067,2.45,-4.462,-0.857,idle_sideB
0.001,-1.011,-0.067,2.45,-4.497,-0.91,idle_sideB
0.002,-1.011,-0.067,2.45,-4.497,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0,-1.011,-0.068,2.467,-4.48,-0.892,idle_sideB
0,-1.011,-0.068,2.45,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.002,-1.01,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.068,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.068,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.066,2.467,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.467,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.502,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.068,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.068,2.485,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.84,idle_sideB
0.001,-1.011,-0.068,2.467,-4.497,-0.84,idle_sideB
0.001,-1.011,-0.068,2.52,-4.515,-0.875,idle_sideB
0.001,-1.011,-0.067,2.52,-4.515,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.45,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.45,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.515,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.515,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.068,2.502,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.068,2.467,-4.515,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.515,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.502,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.502,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.068,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.068,2.502,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.068,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.52,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.52,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.91,idle_sideB
0.002,-1.011,-0.066,2.467,-4.462,-0.91,idle_sideB
0.002,-1.011,-0.066,2.485,-4.515,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.515,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.068,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.068,2.45,-4.515,-0.927,idle_sideB
0.002,-1.011,-0.067,2.45,-4.515,-0.927,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.927,idle_sideB
0.001,-1.011,-0.066,2.467,-4.497,-0.927,idle_sideB
0.001,-1.011,-0.066,2.485,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.927,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.927,idle_sideB
0.001,-1.011,-0.066,2.502,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.001,-1.012,-0.067,2.485,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.91,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.012,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.012,-0.067,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.068,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.066,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.066,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.875,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.515,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.515,-0.892,idle_sideB
0.001,-1.011,-0.067,2.52,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.52,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.45,-4.48,-0.91,idle_sideB
0.001,-1.012,-0.067,2.45,-4.48,-0.91,idle_sideB
0.001,-1.012,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.068,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.068,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.068,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.068,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.01,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.01,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.066,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.45,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.068,2.45,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.068,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.515,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.515,-0.875,idle_sideB
0.001,-1.011,-0.066,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.857,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.857,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.515,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.515,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.445,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.445,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.515,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.515,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.515,-0.927,idle_sideB
0.002,-1.011,-0.067,2.467,-4.515,-0.927,idle_sideB
0.002,-1.011,-0.067,2.502,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.066,2.502,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.066,2.502,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.066,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.066,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.066,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.068,2.485,-4.462,-0.875,idle_sideB
0.001,-1.011,-0.068,2.45,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.875,idle_sideB
0.002,-1.011,-0.067,2.502,-4.515,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.515,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.857,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.875,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.066,2.502,-4.497,-0.875,idle_sideB
0.002,-1.011,-0.066,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.068,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.068,2.485,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.462,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.066,2.467,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.066,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.467,-4.497,-0.892,idle_sideB
0.001,-1.01,-0.067,2.467,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.066,2.467,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.066,2.45,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.45,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.467,-4.48,-0.927,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.001,-1.011,-0.067,2.485,-4.48,-0.91,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.48,-0.892,idle_sideB
0.002,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.48,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.91,idle_sideB
0.002,-1.011,-0.067,2.502,-4.497,-0.91,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
0.001,-1.011,-0.067,2.45,-4.48,-0.857,idle_sideB
0.002,-1.011,-0.066,2.45,-4.48,-0.857,idle_sideB
0.002,-1.011,-0.066,2.45,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.45,-4.462,-0.91,idle_sideB
0.001,-1.011,-0.067,2.502,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.066,2.502,-4.497,-0.91,idle_sideB
0.001,-1.011,-0.066,2.485,-4.497,-0.892,idle_sideB
0.002,-1.011,-0.067,2.485,-4.497,-0.892,idle_sideB
